Ref.,Limits of Potential Window (V),Lower Limit of Potential Window (V),Upper Limit of Potential Window (V),Potential Window (V),Current Density (A/g),Capacitance (F/g),Specific Surface Area (m^2/g),Charge Transfer Resistance (Rct) (ohm),Equivalent Series Resistance (Rs) (ohm),Electrode Configuration,Pore Size (nm),Pore Volume (cm^3/g),Ratio of ID/IG,N at%,C at%,O at%,Electrolyte Chemical Formula,Electrolyte Ionic Conductivity,Electrolyte Concentration (M),Cell Configuration (three/two electrode system)
DOI: 10.1021/acssuschemeng.6b01367,-0.2 to 0.4,-0.2,0.4,0.6,3,1256,,,0.58,"Ternary ZnCo2O4/reduced graphene oxide/NiO
(ZCGNO)",,,1.1,0,18.45,44.31,KOH,6,6,three-electrode system
DOI: 10.1021/acssuschemeng.6b01367,-0.2 to 0.4,-0.2,0.4,0.6,5,1115,,,0.58,"Ternary ZnCo2O4/reduced graphene oxide/NiO
(ZCGNO)",,,1.1,0,18.45,44.31,KOH,6,6,three-electrode system
DOI: 10.1021/acssuschemeng.6b01367,-0.2 to 0.4,-0.2,0.4,0.6,10,716.6,,,0.58,"Ternary ZnCo2O4/reduced graphene oxide/NiO
(ZCGNO)",,,1.1,0,18.45,44.31,KOH,6,6,three-electrode system
DOI: 10.1021/acssuschemeng.6b01367,-0.2 to 0.4,-0.2,0.4,0.6,15,685,,,0.58,"Ternary ZnCo2O4/reduced graphene oxide/NiO
(ZCGNO)",,,1.1,0,18.45,44.31,KOH,6,6,three-electrode system
DOI: 10.1021/acssuschemeng.6b01367,-0.2 to 0.4,-0.2,0.4,0.6,25,666.6,,,0.58,"Ternary ZnCo2O4/reduced graphene oxide/NiO
(ZCGNO)",,,1.1,0,18.45,44.31,KOH,6,6,three-electrode system
DOI: 10.1021/acsami.9b04649,-0.1 to 0.7,-0.1,0.7,0.8,0.5,147.1,,,,"[Ag5 (C2H2N3) 6 ][H5 ⊂ Simo]@5%GO-based electrode 
(1@5%GO-based electrode)",,,,,,,H2SO4,7,0.5,three-electrode system
DOI: 10.1021/acsami.9b04649,-0.1 to 0.7,-0.1,0.7,0.8,0.5,217.1,,,,1@10%GO-based electrode,,,,,,,H2SO4,7,0.5,three-electrode system
DOI: 10.1021/acsami.9b04649,-0.1 to 0.7,-0.1,0.7,0.8,0.5,230.2,,,,(1@15%GO-based electrode),,,,,,,H2SO4,7,0.5,three-electrode system
DOI: 10.1021/acsami.9b04649,-0.1 to 0.7,-0.1,0.7,0.8,0.5,104.2,,,,1@20%GO-based electrode,,,,,,,H2SO4,7,0.5,three-electrode system
DOI: 10.1021/acsami.8b02354,0 to 1.0,0,1,1,1,113,,,,GH,,,1.7,,,,Na2SO4,3,1,three-electrode system
DOI: 10.1021/acsami.8b02354,0 to 1.0,0,1,1,1,200.6,,,,mnO2/GH,,,1.37,,,,Na2SO4,3,1,three-electrode system
DOI: 10.1021/acsami.7b05965,0 to 1.0,0,1,1,1,425,1236,,,F3 film,,,1.01,6.7,79.6,13.7,H2SO4,7,1,three-electrode system
DOI: 10.1021/acsami.7b05965,0 to 1.0,0,1,1,20,315,1236,,,F3 film,,,1.01,6.7,79.6,13.7,H2SO4,7,1,three-electrode system
DOI: 10.1021/acsami.7b05965,0 to 1.0,0,1,1,1,290,1150,,,F2 film,,,1.05,3.2,84,12.8,H2SO4,7,1,three-electrode system
DOI: 10.1021/acsami.7b05965,0 to 1.0,0,1,1,20,203,1150,,,F2 film,,,1.05,3.2,84,12.8,H2SO4,7,1,three-electrode system
DOI: 10.1021/acsami.7b05965,0 to 1.0,0,1,1,1,228,1162,,,F1 film,,,1.1,2.3,81.3,16.4,H2SO4,7,1,three-electrode system
DOI: 10.1021/acsami.7b05965,0 to 1.0,0,1,1,20,134.52,1162,,,F1 film,,,1.1,2.3,81.3,16.4,H2SO4,7,1,three-electrode system
DOI: 10.1021/acsami.6b05415,-1.05 to 0.25,-1.05,0.25,1.3,0.5,586,113.4,,,C-G/AFC,,0.39,,,,,KOH,6,6,three-electrode system
DOI: 10.1021/acsami.6b05415,-1.05 to 0.25,-1.05,0.25,1.3,1,519,113.4,,,C-G/AFC,,0.39,,,,,KOH,6,6,three-electrode system
DOI: 10.1021/acsami.6b05415,-1.05 to 0.25,-1.05,0.25,1.3,10,340,113.4,,,C-G/AFC,,0.39,,,,,KOH,6,6,three-electrode system
DOI: 10.1021/acsami.6b05415,-1.05 to 0.25,-1.05,0.25,1.3,1,319,49.1,,,C-AFC,,0.04,,,,,KOH,6,6,three-electrode system
DOI: 10.1021/acsami.6b05415,-1.05 to 0.25,-1.05,0.25,1.3,0.5,156,126.4,,,C-G/AC,,0.18,,,,,KOH,6,6,three-electrode system
DOI: 10.1021/acsami.6b00225,-1.0 to 0,-1,0,1,1,274,,,,Fe2O3NDs@NG-0.75,,,1.04,,,,KOH,6,2,three-electrode system
DOI: 10.1021/acsami.6b00225,-1.0 to 0,-1,0,1,2,234,,,,Fe2O3NDs@NG-0.75,,,1.04,,,,KOH,6,2,three-electrode system
DOI: 10.1021/acsami.6b00225,-1.0 to 0,-1,0,1,5,201,,,,Fe2O3NDs@NG-0.75,,,1.04,,,,KOH,6,2,three-electrode system
DOI: 10.1021/acsami.6b00225,-1.0 to 0,-1,0,1,8,187,,,,Fe2O3NDs@NG-0.75,,,1.04,,,,KOH,6,2,three-electrode system
DOI: 10.1021/acsami.6b00225,-1.0 to 0,-1,0,1,10,181,,,,Fe2O3NDs@NG-0.75,,,1.04,,,,KOH,6,2,three-electrode system
DOI: 10.1021/acsami.6b00225,-1.0 to 0,-1,0,1,20,168,,,,Fe2O3NDs@NG-0.75,,,1.04,,,,KOH,6,2,three-electrode system
DOI: 10.1021/acsami.6b00225,-1.0 to 0,-1,0,1,50,140,,,,Fe2O3NDs@NG-0.75,,,1.04,,,,KOH,6,2,three-electrode system
DOI: 10.1021/acsami.6b00225,-1.0 to 0,-1,0,1,50,140,,,,Fe2O3NDs@NG-0.75,,,1.04,,,,KOH,6,2,three-electrode system
DOI: 10.1021/acsami.6b00225,-1.0 to 0,-1,0,1,1,255,,,,Fe2O3NDs@NG-1,,,,,,,KOH,6,2,three-electrode system
DOI: 10.1021/acsami.6b00225,-1.0 to 0,-1,0,1,1,228,,,,Fe2O3NDs@NG-0.50,,,,,,,KOH,6,2,three-electrode system
DOI: 10.1021/acsami.6b00225,-1.0 to 0,-1,0,1,1,224,,,,Fe2O3NDs@NG-0.25,,,,,,,KOH,6,2,three-electrode system
DOI: 10.1021/acsami.5b10781,0 to 0.5,0,0.5,0.5,1,2474,12.15,,2.00,(Co-LmOF),3.8,0.168,,,,,KOH,6,1,three-electrode system
DOI: 10.1021/acsami.5b10781,0 to 0.5,0,0.5,0.5,2,1978,12.15,,2.00,(Co-LmOF),3.8,0.168,,,,,KOH,6,1,three-electrode system
DOI: 10.1021/acsami.5b10781,0 to 0.5,0,0.5,0.5,4,1728,12.15,,2.00,(Co-LmOF),3.8,0.168,,,,,KOH,6,1,three-electrode system
DOI: 10.1021/acsami.5b10781,0 to 0.5,0,0.5,0.5,6,1607,12.15,,2.00,(Co-LmOF),3.8,0.168,,,,,KOH,6,1,three-electrode system
DOI: 10.1021/acsami.5b10781,0 to 0.5,0,0.5,0.5,8,1514,12.15,,2.00,(Co-LmOF),3.8,0.168,,,,,KOH,6,1,three-electrode system
DOI: 10.1021/acsami.5b10781,0 to 0.5,0,0.5,0.5,20,1024,12.15,,2.00,(Co-LmOF),3.8,0.168,,,,,KOH,6,1,three-electrode system
DOI: 10.1021/acsami.5b04336,0 to 1.2,0,1.2,1.2,0.7,600.19,,,,3D:Co-nb@CG,,,1.01,0,84.6,10.43,KOH,6,,two-electrode system
DOI: 10.1021/acsami.5b04336,0 to 1.2,0,1.2,1.2,1.1,542.73,,,,3D:Co-nb@CG,,,1.01,0,84.6,10.43,KOH,6,,two-electrode system
DOI: 10.1021/acsami.5b04336,0 to 1.2,0,1.2,1.2,1.5,509.85,,,,3D:Co-nb@CG,,,1.01,0,84.6,10.43,KOH,6,,two-electrode system
DOI: 10.1021/acsami.5b04336,0 to 1.2,0,1.2,1.2,1.9,494.84,,,,3D:Co-nb@CG,,,1.01,0,84.6,10.43,KOH,6,,two-electrode system
DOI: 10.1021/acsami.5b04336,0 to 1.2,0,1.2,1.2,2.3,489.87,,,,3D:Co-nb@CG,,,1.01,0,84.6,10.43,KOH,6,,two-electrode system
DOI: 10.1021/acsami.5b04336,0 to 1.2,0,1.2,1.2,2.7,484.8,,,,3D:Co-nb@CG,,,1.01,0,84.6,10.43,KOH,6,,two-electrode system
DOI: 10.1021/acsami.5b04336,0 to 1.2,0,1.2,1.2,3.1,480.78,,,,3D:Co-nb@CG,,,1.01,0,84.6,10.43,KOH,6,,two-electrode system
DOI: 10.1021/acsami.5b04336,0 to 1.2,0,1.2,1.2,3.5,479.83,,,,3D:Co-nb@CG,,,1.01,0,84.6,10.43,KOH,6,,two-electrode system
DOI: 10.1021/acsami.5b04336,0 to 1.2,0,1.2,1.2,3.9,479,,,,3D:Co-nb@CG,,,1.01,0,84.6,10.43,KOH,6,,two-electrode system
DOI: 10.1021/acsami.5b04336,0 to 1.2,0,1.2,1.2,4.5,478.93,,,,3D:Co-nb@CG,,,1.01,0,84.6,10.43,KOH,6,,two-electrode system
DOI: 10.1021/acsami.5b04336,0 to 1.2,0,1.2,1.2,4.5,384.9,,,,Co-np@G,,,0.89,,,,KOH,6,,two-electrode system
DOI: 10.1021/acsami.5b04336,0 to 1.2,0,1.2,1.2,4.5,414.6,,,,Co-abd@CG,,,0.99,,,,KOH,6,,two-electrode system
DOI: 10.1002/smll.201602077,-0.1 to 0.5,-0.1,0.5,0.6,1,1765,,,,3D graphene frameworks/Co3O4,,,,,,,NaOH,,0.1,three-electrode system
DOI: 10.1002/smll.201602077,-0.1 to 0.5,-0.1,0.5,0.6,5,1517,,,,3D graphene frameworks/Co3O4,,,,,,,NaOH,,0.1,three-electrode system
DOI: 10.1002/smll.201602077,-0.1 to 0.5,-0.1,0.5,0.6,10,1483,,,,3D graphene frameworks/Co3O4,,,,,,,NaOH,,0.1,three-electrode system
DOI: 10.1002/smll.201602077,-0.1 to 0.5,-0.1,0.5,0.6,20,1266,,,,3D graphene frameworks/Co3O4,,,,,,,NaOH,,0.1,three-electrode system
DOI: 10.1002/chem.201501245,0 to 0.8,0,0.8,0.8,0.2,420,20.103,,,PANI-G,16.2,,,,,,H2SO4,7,1,three-electrode system
DOI: 10.1002/chem.201501245,0 to 0.8,0,0.8,0.8,0.2,620,27.884,,,PANI-GN,10.8,,,,,,H2SO4,7,1,three-electrode system
DOI: 10.1002/chem.201501245,0 to 0.8,0,0.8,0.8,0.2,520,36.579,,,PANI-GO,6.2,,,,,,H2SO4,7,1,three-electrode system
DOI: 10.1002/chem.201501245,0 to 0.8,0,0.8,0.8,0.2,863.2,49.023,,,PANI-GS,3.9,,,,,,H2SO4,7,1,three-electrode system
DOI: 10.1002/slct.202101207,-0.2 to 0.8,-0.2,0.8,1,1,184,,,,graphene paper (GP),,,2.4,,,,H2SO4,7,1,three-electrode system
DOI: 10.1002/slct.202101207,-0.2 to 0.8,-0.2,0.8,1,2,86,,,,graphene paper (GP),,,2.4,,,,H2SO4,7,1,three-electrode system
DOI: 10.1002/slct.202101207,-0.2 to 0.8,-0.2,0.8,1,5,37,,,,graphene paper (GP),,,2.4,,,,H2SO4,7,1,three-electrode system
DOI: 10.1002/slct.202101207,-0.2 to 0.8,-0.2,0.8,1,10,18,,,,graphene paper (GP),,,2.4,,,,H2SO4,7,1,three-electrode system
DOI: 10.1002/slct.202101207,-0.2 to 0.8,-0.2,0.8,1,1,236,,,,GP/mnO2-10s,,,1.79,,,,H2SO4,7,1,three-electrode system
DOI: 10.1002/slct.202101207,-0.2 to 0.8,-0.2,0.8,1,2,181,,,,GP/mnO2-10s,,,1.79,,,,H2SO4,7,1,three-electrode system
DOI: 10.1002/slct.202101207,-0.2 to 0.8,-0.2,0.8,1,5,20,,,,GP/mnO2-10s,,,1.79,,,,H2SO4,7,1,three-electrode system
DOI: 10.1002/slct.202101207,-0.2 to 0.8,-0.2,0.8,1,10,18,,,,GP/mnO2-10s,,,1.79,,,,H2SO4,7,1,three-electrode system
DOI: 10.1002/slct.202101207,-0.2 to 0.8,-0.2,0.8,1,1,410,,,,GP/mnO2-30s,,,1.79,,,,H2SO4,7,1,three-electrode system
DOI: 10.1002/slct.202101207,-0.2 to 0.8,-0.2,0.8,1,2,312,,,,GP/mnO2-30s,,,1.79,,,,H2SO4,7,1,three-electrode system
DOI: 10.1002/slct.202101207,-0.2 to 0.8,-0.2,0.8,1,5,118,,,,GP/mnO2-30s,,,1.79,,,,H2SO4,7,1,three-electrode system
DOI: 10.1002/slct.202101207,-0.2 to 0.8,-0.2,0.8,1,10,25,,,,GP/mnO2-30s,,,1.79,,,,H2SO4,7,1,three-electrode system
DOI: 10.1002/slct.202101207,-0.2 to 0.8,-0.2,0.8,1,1,327,,,,GP/mnO2-50s,,,1.79,,,,H2SO4,7,1,three-electrode system
DOI: 10.1002/slct.202101207,-0.2 to 0.8,-0.2,0.8,1,2,182,,,,GP/mnO2-50s,,,1.79,,,,H2SO4,7,1,three-electrode system
DOI: 10.1002/slct.202101207,-0.2 to 0.8,-0.2,0.8,1,5,116,,,,GP/mnO2-50s,,,1.79,,,,H2SO4,7,1,three-electrode system
DOI: 10.1002/slct.202101207,-0.2 to 0.8,-0.2,0.8,1,10,23,,,,GP/mnO2-50s,,,1.79,,,,H2SO4,7,1,three-electrode system
DOI: 10.1002/cjoc.201700209,-1.0 to 0,-1,0,1,0.5,458.7,262.1,1.50,,GHs-Glu-best,37,,,0,85.11,14.89,KOH,6,5,three-electrode system
DOI: 10.1002/cjoc.201700209,-1.0 to 0,-1,0,1,1,384.6,262.1,1.50,,GHs-Glu-best,37,,,0,85.11,14.89,KOH,6,5,three-electrode system
DOI: 10.1002/cjoc.201700209,-1.0 to 0,-1,0,1,3,250,262.1,1.50,,GHs-Glu-best,37,,,0,85.11,14.89,KOH,6,5,three-electrode system
DOI: 10.1002/er.3543,0.1 to 0.6,0.1,0.6,0.5,1,122,,,,Graphene/NF,,,0.85,,,,KOH,6,6,three-electrode system
DOI: 10.1002/er.3543,0.1 to 0.6,0.1,0.6,0.5,2,120,,,,Graphene/NF,,,0.85,,,,KOH,6,6,three-electrode system
DOI: 10.1002/er.3543,0.1 to 0.6,0.1,0.6,0.5,3,124.4,,,,Graphene/NF,,,0.85,,,,KOH,6,6,three-electrode system
DOI: 10.1002/er.3543,0.1 to 0.6,0.1,0.6,0.5,4,128,,,,Graphene/NF,,,0.85,,,,KOH,6,6,three-electrode system
DOI: 10.1002/er.3543,0.1 to 0.6,0.1,0.6,0.5,5,105,,,,Graphene/NF,,,0.85,,,,KOH,6,6,three-electrode system
DOI: 10.1002/aenm.201401890,0 to 1.0,0,1,1,1,769,,,,"VO/Ultralarge Graphene
(VURGO)",,,1.82,,,,K2SO4,,0.5,three-electrode system
DOI: 10.1002/aenm.201401890,0 to 1.0,0,1,1,1,385,,,,"VO/Ultralarge Graphene
(VURGO)",,,,,,,K2SO4,,0.5,three-electrode system
DOI: 10.1002/aenm.201401890,0 to 1.0,0,1,1,1,286,,,,URGO,,,,,,,K2SO4,,0.5,three-electrode system
DOI: 10.1002/ente.202001025,-1.0 to 0,-1,0,1,1,83.4,179,2.20,0.92,G-600,,0.14,2.61,,,,KOH,6,6,three-electrode system
DOI: 10.1002/ente.202001025,-1.0 to 0,-1,0,1,1,125.1,269,1.20,0.83,G-700,,0.19,2.74,,,,KOH,6,6,three-electrode system
DOI: 10.1002/ente.202001025,-1.0 to 0,-1,0,1,1,183.9,484,0.40,0.78,G-800,,0.33,2.88,,,,KOH,6,6,three-electrode system
DOI: 10.1002/ente.202001025,-1.0 to 0,-1,0,1,1,190.6,514,0.20,0.76,G-900,,0.38,2.9,,,,KOH,6,6,three-electrode system
DOI: 10.1002/ente.202001025,-1.0 to 0,-1,0,1,2,150.7,514,0.20,0.76,G-900,,0.38,2.9,,,,KOH,6,6,three-electrode system
DOI: 10.1002/ente.202001025,-1.0 to 0,-1,0,1,5,130.7,514,0.20,0.76,G-900,,0.38,2.9,,,,KOH,6,6,three-electrode system
DOI: 10.1002/ente.202001025,-1.0 to 0,-1,0,1,10,120.1,514,0.20,0.76,G-900,,0.38,2.9,,,,KOH,6,6,three-electrode system
DOI: 10.1002/ente.201900578,-1.0 to 0,-1,0,1,1,15,314,,,G0-0%,8.2,0.42,0.864,0,88.4,11,KOH,6,6,three-electrode system
DOI: 10.1002/ente.201900578,-1.0 to 0,-1,0,1,1,120,720,,0.22,G1-5%,1.8,0.24,0.147,0,81,14.7,KOH,6,6,three-electrode system
DOI: 10.1002/ente.201900578,-1.0 to 0,-1,0,1,10,102,720,,0.22,G1-5%,1.8,0.24,0.147,0,81,14.7,KOH,6,6,three-electrode system
DOI: 10.1002/ente.201900578,-1.0 to 0,-1,0,1,1,94,546,,0.39,G2-10%,3.1,0.35,0.153,0,96.8,2.9,KOH,6,6,three-electrode system
DOI: 10.1002/ente.201900578,-1.0 to 0,-1,0,1,10,75.2,546,,0.39,G2-10%,3.1,0.35,0.153,0,96.8,2.9,KOH,6,6,three-electrode system
DOI: 10.1002/ente.201900578,-1.0 to 0,-1,0,1,1,61,424,,0.48,G3-15%,6.5,0.42,0.201,0,97.3,2.2,KOH,6,6,three-electrode system
DOI: 10.1002/ente.201900578,-1.0 to 0,-1,0,1,10,42.09,424,,0.48,G3-15%,6.5,0.42,0.201,0,97.3,2.2,KOH,6,6,three-electrode system
DOI: 10.1002/chem.201605212,0 to 0.55,0,0.55,0.55,1,2258,,,,NF-NN-G-5mg,,,,,,,KOH,6,3,three-electrode system
DOI: 10.1002/chem.201605212,0 to 0.55,0,0.55,0.55,5,1145,,,,NF-NN-G-5mg,,,,,,,KOH,6,3,three-electrode system
DOI: 10.1002/chem.201605212,0 to 0.55,0,0.55,0.55,20,1010,,,,NF-NN-G-5mg,,,,,,,KOH,6,3,three-electrode system
DOI: 10.1002/jctb.6147,-1.0 to 0,-1,0,1,1,225.2,,,,nitrogen-doped graphene (NG-800),,,0.84,12.45,,,KOH,6,6,three-electrode system
DOI: 10.1002/jctb.6147,-1.0 to 0,-1,0,1,5,188.75,,,,nitrogen-doped graphene (NG-800),,,0.84,12.45,,,KOH,6,6,three-electrode system
DOI: 10.1002/gch2.201900043,-1.0 to -0.1,-1,-0.1,0.9,0.5,275,1734,,,"N,S-GLC",0.53,0.68,0.89,2.1,92.93,4.26,KOH,6,6,three-electrode system
DOI: 10.1002/gch2.201900043,-1.0 to -0.1,-1,-0.1,0.9,2,230,1734,,,"N,S-GLC",0.53,0.68,0.89,2.1,92.93,4.26,KOH,6,6,three-electrode system
DOI: 10.1002/gch2.201900043,-1.0 to -0.1,-1,-0.1,0.9,9,200,1734,,,"N,S-GLC",0.53,0.68,0.89,2.1,92.93,4.26,KOH,6,6,three-electrode system
DOI: 10.1002/gch2.201900043,-1.0 to -0.1,-1,-0.1,0.9,20,180,1734,,,"N,S-GLC",0.53,0.68,0.89,2.1,92.93,4.26,KOH,6,6,three-electrode system
DOI: 10.1002/slct.201900242,-1.0 to 0,-1,0,1,2,120,,,,PDA-rGO,,,1.11,,,,,,,three-electrode system
DOI: 10.1002/slct.201900242,-1.0 to 0,-1,0,1,1,200,,,,PDA-rGO,,,1.11,,,,,,,three-electrode system
DOI: 10.1002/cjoc.201600217,0 to 0.8,0,0.8,0.8,0.1,321.7,,,,mPG,,,,,,,H2SO4,7,1,three-electrode system
DOI: 10.1002/cjoc.201600217,0 to 0.8,0,0.8,0.8,0.1,116.4,,,,PANI/graphene,,,,,,,H2SO4,7,1,three-electrode system
DOI: 10.1002/cssc.201500355,0 to 0.5,0,0.5,0.5,0.5,660,140.7,,,3D Co3O4-RGO aerogel,,0.31,,,,,,,,three-electrode system
DOI: 10.1002/cssc.201500355,0 to 0.5,0,0.5,0.5,10,500,140.7,,,3D Co3O4-RGO aerogel,,0.31,,,,,,,,three-electrode system
DOI: 10.1002/cssc.201500355,0 to 0.5,0,0.5,0.5,50,430,140.7,,,3D Co3O4-RGO aerogel,,0.31,,,,,,,,three-electrode system
DOI: 10.1002/APP.44724,0 to 0.8,0,0.8,0.8,0.5,472,,,,Ag-PPy/Gr,,,0.86,,,,KCl,4,1,two-electrode system
DOI: 10.1002/APP.44724,0 to 0.8,0,0.8,0.8,1,360,,,,Ag-PPy/Gr,,,0.86,,,,KCl,4,1,two-electrode system
DOI: 10.1002/APP.44724,0 to 0.8,0,0.8,0.8,1.5,260,,,,Ag-PPy/Gr,,,0.86,,,,KCl,4,1,two-electrode system
DOI: 10.1002/APP.44724,0 to 0.8,0,0.8,0.8,2,210,,,,Ag-PPy/Gr,,,0.86,,,,KCl,4,1,two-electrode system
DOI: 10.1002/APP.44724,0 to 0.8,0,0.8,0.8,3,190,,,,Ag-PPy/Gr,,,0.86,,,,KCl,4,1,two-electrode system
DOI: 10.1002/celc.202100235,0 to 1.0,0,1,1,0.5,130,2053,,,annealed a-rGO,,,,,,,TEA-BF4/ acetonitrile,,1,two-electrode system
DOI: 10.1002/celc.202100235,0 to 1.0,0,1,1,100,84,2053,,,annealed a-rGO,,,,,,,TEA-BF4/ acetonitrile,,1,two-electrode system
DOI: 10.1002/celc.202100235,0 to 1.0,0,1,1,0.5,131,2034,,,a-rGO,,,,,,,TEA-BF4/ acetonitrile,,1,two-electrode system
DOI: 10.1002/celc.202100235,0 to 1.0,0,1,1,100,71,2034,,,a-rGO,,,,,,,TEA-BF4/ acetonitrile,,1,two-electrode system
DOI: 10.1002/open.201900004,0 to 1.0,0,1,1,0.5,153.7,759,,,graphene oxide (GO),,,,0,81.9,18.1,KOH,6,6,two-electrode system
DOI: 10.1002/open.201900004,0 to 1.0,0,1,1,2,10.9,759,,,graphene oxide (GO),,,,0,81.9,18.1,KOH,6,6,two-electrode system
DOI: 10.1002/open.201900004,0 to 1.0,0,1,1,0.5,119.6,669,,,"chemically-reduced graphene
oxide (rGO)",,,,0,94.7,5.3,KOH,6,6,two-electrode system
DOI: 10.1002/open.201900004,0 to 1.0,0,1,1,2,49.4,669,,,"chemically-reduced graphene
oxide (rGO)",,,,0,94.7,5.3,KOH,6,6,two-electrode system
DOI: 10.1002/open.201900004,0 to 1.0,0,1,1,0.5,14.5,341,,,liquid phase exfoliated graphene (LEG),,,,0,97.7,2.3,KOH,6,6,two-electrode system
DOI: 10.1002/open.201900004,0 to 1.0,0,1,1,2,12.7,341,,,liquid phase exfoliated graphene (LEG),,,,0,97.7,2.3,KOH,6,6,two-electrode system
DOI: 10.1002/open.201900004,0 to 1.0,0,1,1,0.5,22.4,392,,,cathodic electrochemically exfoliated graphene (CEEG),,,,0,96.1,3.9,KOH,6,6,two-electrode system
DOI: 10.1002/open.201900004,0 to 1.0,0,1,1,2,20.1,392,,,cathodic electrochemically exfoliated graphene (CEEG),,,,0,96.1,3.9,KOH,6,6,two-electrode system
DOI: 10.1002/open.201900004,0 to 1.0,0,1,1,0.5,46.7,546,,,anodic electrochemically exfoliated graphene (AEEG),,,,0,90.4,9.6,KOH,6,6,two-electrode system
DOI: 10.1002/open.201900004,0 to 1.0,0,1,1,2,40.8,546,,,anodic electrochemically exfoliated graphene (AEEG),,,,0,90.4,9.6,KOH,6,6,two-electrode system
DOI: 10.1002/open.201900004,0 to 1.0,0,1,1,0.5,12.4,378,,,graphene nanoribbons (GNR),,,,0,98.1,1.9,KOH,6,6,two-electrode system
DOI: 10.1002/open.201900004,0 to 1.0,0,1,1,2,11.5,378,,,graphene nanoribbons (GNR),,,,0,98.1,1.9,KOH,6,6,two-electrode system
DOI: 10.1002/APP.44808,0 to 0.8,0,0.8,0.8,1,291,,,,PORGO,,,0.88,,,,H2SO4,7,1,three-electrode system
DOI: 10.1002/APP.44808,0 to 0.8,0,0.8,0.8,1,1.4,,,,graphene oxide (GO),,,0.79,,,,H2SO4,7,1,three-electrode system
DOI: 10.1002/APP.44808,0 to 0.8,0,0.8,0.8,1,217,,,,rGO,,,0.92,,,,H2SO4,7,1,three-electrode system
DOI: 10.1002/APP.44808,0 to 0.8,0,0.8,0.8,1,369,,,,PANI-PORGO,,,,,,,H2SO4,7,1,three-electrode system
DOI: 10.1002/APP.44808,0 to 0.8,0,0.8,0.8,2,323,,,,PANI-PORGO,,,,,,,H2SO4,7,1,three-electrode system
DOI: 10.1002/APP.44808,0 to 0.8,0,0.8,0.8,5,270,,,,PANI-PORGO,,,,,,,H2SO4,7,1,three-electrode system
DOI: 10.1134/S1070427221030149,0 to 0.8,0,0.8,0.8,4,75.4,,,,multilayer graphene oxide,,,,,,,KOH,6,6,two-electrode system
DOI: 10.1134/S1070427221030149,0 to 0.8,0,0.8,0.8,1,90,,,,multilayer graphene oxide,,,,,,,KOH,6,6,two-electrode system
DOI: 10.1134/S1070427221030149,0 to 0.8,0,0.8,0.8,0.1,102.1,,,,multilayer graphene oxide,,,,,,,KOH,6,6,two-electrode system
DOI: 10.1007/s12678-015-0254-1,0 to 1.0,0,1,1,1,81.14,,,,rGO/mWCNTs/NF,,,0.41,,,,KOH,6,1,two-electrode system
DOI: 10.1007/s12678-015-0254-1,0 to 1.0,0,1,1,2,49,,,,rGO/mWCNTs/NF,,,0.41,,,,KOH,6,1,two-electrode system
DOI: 10.1007/s12678-015-0254-1,0 to 1.0,0,1,1,3,25,,,,rGO/mWCNTs/NF,,,0.41,,,,KOH,6,1,two-electrode system
DOI: 10.1007/s12678-015-0254-1,0 to 1.0,0,1,1,1,29.96,,,,rGO/NF,,,,,,,KOH,6,1,two-electrode system
DOI: 10.1007/s12678-015-0254-1,0 to 1.0,0,1,1,1,13.25,,,,mWCNTs/NF,,,,,,,KOH,6,1,two-electrode system
DOI: 10.1007/s10854-020-04085-0,-1.0 to 0,-1,0,1,0.5,822,,1.10,0.33,Fe3O4@N-PG/Ni foam,,,,3.63,32.37,37.15,Na2SO3,5,2,three-electrode system
DOI: 10.1007/s10854-020-04085-0,-1.0 to 0,-1,0,1,1,799,,1.10,0.33,Fe3O4@N-PG/Ni foam,,,,3.63,32.37,37.15,Na2SO3,5,2,three-electrode system
DOI: 10.1007/s10854-020-04085-0,-1.0 to 0,-1,0,1,2,775,,1.10,0.33,Fe3O4@N-PG/Ni foam,,,,3.63,32.37,37.15,Na2SO3,5,2,three-electrode system
DOI: 10.1007/s10854-020-04085-0,-1.0 to 0,-1,0,1,3,738,,1.10,0.33,Fe3O4@N-PG/Ni foam,,,,3.63,32.37,37.15,Na2SO3,5,2,three-electrode system
DOI: 10.1007/s10854-020-04085-0,-1.0 to 0,-1,0,1,5,692,,1.10,0.33,Fe3O4@N-PG/Ni foam,,,,3.63,32.37,37.15,Na2SO3,5,2,three-electrode system
DOI: 10.1007/s10854-020-04085-0,-1.0 to 0,-1,0,1,7,657,,1.10,0.33,Fe3O4@N-PG/Ni foam,,,,3.63,32.37,37.15,Na2SO3,5,2,three-electrode system
DOI: 10.1007/s10854-020-04085-0,-1.0 to 0,-1,0,1,10,631,,1.10,0.33,Fe3O4@N-PG/Ni foam,,,,3.63,32.37,37.15,Na2SO3,5,2,three-electrode system
DOI: 10.1007/s11804-014-1279-1,-0.1 to 0.35,-0.1,0.35,0.45,4.5,2128,,,,NiS/GNS/CNT,,,,,,,KOH,6,6,three-electrode system
DOI: 10.1007/s11804-014-1279-1,-0.1 to 0.35,-0.1,0.35,0.45,9,1621,,,,NiS/GNS/CNT,,,,,,,KOH,6,6,three-electrode system
DOI: 10.1007/s11804-014-1279-1,-0.1 to 0.35,-0.1,0.35,0.45,13.6,1397,,,,NiS/GNS/CNT,,,,,,,KOH,6,6,three-electrode system
